rank	name	count	mono_strict	mono_relaxed	t2t_consistency	quartet	markers
order	Geoarchaeales	7	yes	yes	1	1	137.7
order	Geobacterales	12	no	yes	1	1	348.3
order	Gloeobacterales	2	yes	yes	1	1	349.5
order	Gottesmanbacterales	10	no	yes	1	1	190.6
order	HDB-SIOI813	5	yes	yes	1	1	266.2
order	Halanaerobiales	10	yes	yes	1	1	329.1
order	Halobacteriales	101	no	yes	1	0.999	225.3
order	Halobacteroidales	7	yes	yes	1	1	345.1
order	Haloplasmatales	4	yes	yes	1	1	296.8
order	Halothiobacillales	2	yes	yes	1	1	348.5
order	Holophagales	2	yes	yes	1	1	349.0
order	Holosporales	3	no	no	0.667	0.896	194.7
order	Hydrogenedentiales	3	yes	yes	1	1	257.0
order	Hydrogenothermales	5	yes	yes	1	1	310.4
order	IMC4	4	yes	yes	1	1	152.5
order	Iainarchaeales	2	yes	yes	1	1	123.5
order	Ignavibacteriales	21	no	yes	1	1	330.2
order	Isosphaerales	4	yes	yes	1	1	350.8
order	Izimaplasmatales	2	yes	yes	1	1	269.5
order	Jacksonbacterales	4	yes	yes	1	1	158.8
order	JdFR-21	2	yes	yes	1	1	164.5
order	JdFR-72	2	yes	yes	1	1	273.0
order	Jiangellales	3	yes	yes	1	1	348.0
order	Kapabacteriales	4	yes	yes	1	1	306.0
order	Kazan-3B-28	8	yes	yes	1	1	125.5
order	Kerfeldbacterales	4	yes	yes	1	1	172.0
order	Kiloniellales	6	yes	yes	1	1	358.5
order	Komeilibacterales	12	yes	yes	1	1	155.8
order	Kryptoniales	21	yes	yes	1	1	276.8
order	Ktedonobacterales	4	no	yes	1	0.999	285.3
order	Kuenenbacterales	5	yes	yes	1	1	131.2
order	Lachnospirales	249	no	yes	1	1	327.5
order	Lactobacillales	511	no	yes	1	1	288.6
order	Legionellales	81	yes	yes	1	1	337.2
order	Leptolyngbyales	6	yes	yes	1	1	357.8
order	Leptospirales	26	yes	yes	1	1	339.4
order	Leptospirillales	9	yes	yes	1	1	317.3
order	Levybacterales	23	no	yes	1	0.998	149.6
order	Limnotrichales	2	yes	yes	1	1	346.0
order	Lutisporales	3	yes	yes	1	1	329.7
order	MGII	11	no	yes	1	1	145.1
order	MGIII	2	yes	yes	1	1	135.0
order	ML615J-28	7	yes	yes	1	1	226.6
order	MSB-5A5	4	no	yes	1	1	247.8
order	Magasanikibacterales	36	no	yes	1	0.999	169.2
order	Marinisomatales	7	no	yes	1	0.999	227.4
order	Mariprofundales	5	no	yes	1	1	336.6
order	Methanobacteriales	34	yes	yes	1	1	183.4
order	Methanocellales	3	yes	yes	1	1	199.7
order	Methanococcales	19	yes	yes	1	1	171.8
order	Methanofastidiosales	8	yes	yes	1	1	172.6
order	Methanomassiliicoccales	12	yes	yes	1	1	189.8
order	Methanomethyliales	4	yes	yes	1	1	157.8
order	Methanomicrobiales	28	no	yes	1	1	196.0
order	Methanosarcinales	73	yes	yes	1	1	219.5
order	Methanotrichales	6	no	yes	1	1	193.7
order	Methanotrichales_A	4	yes	yes	1	1	164.3
order	Methylacidiphilales	6	yes	yes	1	1	322.5
order	Methylococcales	23	no	yes	1	1	358.5
order	Methylomirabilales	2	no	yes	1	1	288.5
order	Microtrichales	12	no	yes	1	1	289.2
order	Moduliflexales	2	yes	yes	1	1	346.5
order	Moorellales	2	yes	yes	1	1	343.5
order	Moranbacterales	39	no	yes	1	0.999	152.9
order	Mycoplasmatales	21	yes	yes	1	1	176.2
order	Myxococcales	11	yes	yes	1	1	370.7
order	Nannocystales	3	yes	yes	1	1	350.3
order	Nanopelagicales	16	no	yes	1	0.999	258.8
order	Nautiliales	3	yes	yes	1	1	309.3
order	Neosynechococcales	2	no	no	0.5	0.999	356.0
order	Nevskiales	10	yes	yes	1	1	358.1
order	Nitrococcales	7	no	yes	1	1	352.7
order	Nitrosococcales	10	yes	yes	1	1	351.3
order	Nitrososphaerales	44	no	yes	1	1	165.1
order	Nitrospinales	2	no	yes	1	0.999	308.5
order	Nitrospirales	4	no	yes	1	1	315.8
order	O2-12-FULL-45-9	15	yes	yes	1	1	284.6
order	Obscuribacterales	2	yes	yes	1	1	339.5
order	Omnitrophales	6	no	yes	1	1	282.0
order	Opitutales	13	no	yes	1	1	326.5
order	Oscillospirales	103	no	yes	1	1	304.4
order	Paceibacterales	41	no	yes	1	0.998	136.4
order	Paenibacillales	91	no	yes	1	1	375.9
order	Paracaedibacterales	3	yes	yes	1	1	270.3
order	Parachlamydiales	28	yes	yes	1	1	256.5
order	Parvibaculales	6	yes	yes	1	1	342.5
order	Pedosphaerales	2	no	yes	1	1	321.5
order	Pelagibacterales	12	no	yes	1	0.999	269.0
order	Peptococcales	2	no	no	0.5	0.988	338.5
order	Peptostreptococcales	54	no	yes	1	1	317.7
order	Peregrinibacterales	20	no	yes	1	1	189.5
order	Peribacterales	33	no	yes	1	1	170.4
order	Petrotogales	11	yes	yes	1	1	296.5
order	Phormidesmiales	7	yes	yes	1	1	360.0
order	Pirellulales	18	yes	yes	1	1	339.1
order	Piscirickettsiales	25	yes	yes	1	1	322.4
order	Planctomycetales	7	yes	yes	1	1	350.4
order	Polyangiales	7	no	yes	1	1	352.0
order	Portnoybacterales	6	no	yes	1	0.999	126.5
order	Propionibacteriales	58	yes	yes	1	1	336.6
order	Propionisporales	3	no	no	0.75	1	373.7
order	Pseudanabaenales	6	yes	yes	1	1	344.7
order	Pseudomonadales	310	no	no	0.997	0.999	351.3
order	Puniceispirillales	4	no	yes	1	1	318.5
order	Pyrinomonadales	4	no	yes	1	1	344.3
order	RBG-13-55-18	3	yes	yes	1	1	259.0
order	RBG-16-68-12	2	no	yes	1	1	166.0
order	RF32	7	yes	yes	1	1	240.6
order	RF39	10	yes	yes	1	1	180.1
order	RFN20	4	no	yes	1	1	220.3
order	Rhizobiales	315	yes	yes	1	1	341.7
order	Rhodobacterales	179	no	yes	1	0.999	359.4
order	Rhodospirillales	21	yes	yes	1	1	357.3
order	Rhodothermales	3	yes	yes	1	1	340.0
order	Rickettsiales	86	no	yes	1	1	222.0
order	Roizmanbacterales	51	no	yes	1	0.998	161.0
order	Rubrobacterales	3	yes	yes	1	1	334.3
order	Ryanbacterales	5	no	yes	1	0.999	149.6
order	SAR324	13	no	yes	1	0.999	312.6
order	SAR86	11	no	yes	1	1	262.1
order	SC72	10	no	yes	1	1	129.0
order	SG8-4	9	no	yes	1	0.999	294.9
order	SM1-40	3	yes	yes	1	1	263.0
order	SM23-42	2	no	yes	1	1	266.0
order	SPLOWO2-01-44-7	2	yes	yes	1	1	283.5
order	Saccharimonadales	15	no	yes	1	1	155.1
order	Saccharofermentanales	9	no	yes	1	1	282.9
order	Selenomonadales	26	no	no	0.962	1	343.6
order	Shapirobacterales	5	no	yes	1	1	139.0
order	Solibacterales	3	yes	yes	1	1	361.7
order	Solirubrobacterales	9	yes	yes	1	1	346.1
order	Spechtbacterales	3	no	yes	1	1	153.7
order	Sphaerochaetales	9	no	yes	1	1	279.3
order	Sphingobacteriales	68	yes	yes	1	1	350.5
order	Sphingomonadales	116	yes	yes	1	1	347.6
order	Spirochaetales	10	yes	yes	1	1	329.7
order	Sporomusales	5	yes	yes	1	1	355.6
order	Staphylococcales	54	yes	yes	1	1	338.4
order	Streptomycetales	131	yes	yes	1	1	355.8
order	Streptosporangiales	38	no	yes	1	1	353.2
order	Sulfolobales	95	yes	yes	1	1	185.2
order	Sungbacterales	16	no	yes	1	1	158.1
order	Synechococcales	3	yes	yes	1	1	342.3
order	Synechococcales_A	77	no	yes	1	0.999	301.0
order	Synergistales	27	no	yes	1	1	309.6
order	Syntrophales	12	no	yes	1	1	297.5
order	Syntrophoarchaeales	2	yes	yes	1	1	169.0
order	Syntrophobacterales	3	yes	yes	1	1	350.7
order	Syntrophomonadales	8	yes	yes	1	1	321.6
order	TANB77	5	yes	yes	1	1	208.0
order	TCS64	3	no	yes	1	1	133.3
order	Tepidibacillales	2	yes	yes	1	1	345.0
order	Terrybacterales	6	no	yes	1	1	157.2
order	Thalassobaculales	4	yes	yes	1	1	305.8
